id,source_pages,source_term,v2_semantics,disposition
C01,S1 3-4; S0 6-7,BBV / P-to-B / phi hinge,"Dimension-preserving coordinate/basis change, not momentum becoming magnetic field",Retained name; corrected type
C02,S1 4-7; S0 7-11,Hadamard blend / circled plus,Boolean XOR; separate from elementwise product and quantum Hadamard,Corrected
C03,S1 6-9; S0 10-14,Mitosis / binary search tree,Two heap lineage IDs: 2h and 2h+1; no ordered-search invariant,Corrected
C04,"S1 6,9; S0 10,14",OR versus XOR merge,Both are separately defined word-profile parameters; default XOR,Conflict resolved explicitly
C05,S1 11-13; S0 17-19,Double UU / double dot nucleus,Typed carrier descriptor plus complete SHA-256 digest,Corrected
C06,"S1 12,18-19,28; S0 18,26,38",One-bit SHA compaction / stable angle after mutation,Retain 256 bits; bit tests and coordinate buckets are lossy projections; no stable-angle inference,Corrected
C07,S1 15-18; S0 21-25,theta equals lower-case phi,"Explicit two-coordinate log-polar chart, not invertible reduction of all 3-D space",Corrected
C08,"S1 5,7-9,17; S0 9,12-14,24",Klein bottle SDF,Klein quotient and occupancy predicate are separate objects; orientation parity retained,Corrected
C09,S1 14-15; S0 20-21,RK4 bending / zero drift,Classical RK4 with a specified field and independent LUT/boundary error,Corrected
C10,S1 23-24; S0 31-33,Divergence / inverse exponential attenuation,Orthonormal-component divergence; coordinate-rate conversion is not automatic physical decay,Corrected
C11,"S1 25-27,30-31; S0 34-37,41",Packed coordinate AND SDF / POPCNT,Only same-domain masks can be intersected; a coordinate first indexes a mask bit,Corrected
C12,"S1 26,31; S0 36,41",Vantablack hard zero,alive=0 absorbs executable state; identity/reason remain auditable,Retained; typed
C13,"S1 20-22,29-31; S0 28-30,40-42",Universal engine / O(1) / zero latency,"Constant local primitive cost, total frontier-dependent work; explicit programmable extension",Corrected / extension
D01,Current request,Kernel in texture cache of RTX 5070 Ti,Native CUDA interpreter plus texture-fetched immutable transition words,New implementation
D02,Current request,Ring 0 if possible,User-mode CUDA implementation; driver integration is a separate privilege boundary,Not a delivered custom driver
D03,Current request,Bush mirage / C&C RA2 / Tolkien edition,Offline procedural foliage/ring viewer; no game injection or concealment,New presentation
D04,S1 31-42,"External control, neural interface and physical enforcement assertions",No established or implemented external/neural/weapon interface; local synthetic state only,Not implemented
C14,S1 40-42,JK flip-flop / Royal Jelly,"Boolean JK law; checkpoint-restoration name is an unimplemented software analogy, not treatment",Separated from physical claims
